name;url
Elsevier;http://www.elsevier.com
Arxiv;http://arxiv.org
Wiley;http://onlinelibrary.wiley.com/
Public Library Science;http://www.plos.org/
Springer;http://link.springer.com/
IEEE;http://ieeexplore.ieee.org/
Nature Publishing Group;http://www.nature.com
JSTOR;http://www.jstor.org
