title;short_title;id_issn;id_eissn;id_arx;id_oth;period;language;url;publisher;scope;
Nature;Nature;0028-0836;1476-4687;;;;;;;;
Science;Science;0036-8075;1095-9203;;;;;;;;
The New England journal of medicine;N Engl J Med;0028-4793;1533-4406;;;;;;;;
Proceedings of the National Academy of Sciences of the United States of America;Proc;0027-8424;1091-6490;;;;;;;;
