title;cat;ext_id;url;publisher;scope;last_scan
Nonlinear Sciences - Chaotic Dynamics;nlin.CD;arxiv.nlin.CD;http://arxiv.org/list/nlin.CD/recent;arxiv;;
Nonlinear Sciences - Exactly Solvable and Integrable Systems;nlin.SI;arxiv.nlin.SI;http://arxiv.org/list/nlin.SI/recent;arxiv;;
Nonlinear Sciences - Pattern Formation and Solitons;nlin.PS;arxiv.nlin.PS;http://arxiv.org/list/nlin.PS/recent;arxiv;;
Mathematics - Algebraic Geometry;math.AG;arxiv.math.AG;http://arxiv.org/list/math.AG/recent;arxiv;;
Mathematics - Algebraic Topology;math.AT;arxiv.math.AT;http://arxiv.org/list/math.AT/recent;arxiv;;
Mathematics - Analysis of PDEs;math.AP;arxiv.math.AP;http://arxiv.org/list/math.AP/recent;arxiv;;
Mathematics - Category Theory;math.CT;arxiv.math.CT;http://arxiv.org/list/math.CT/recent;arxiv;;
Mathematics - Classical Analysis and ODEs;math.CA;arxiv.math.CA;http://arxiv.org/list/math.CA/recent;arxiv;;
Mathematics - Combinatorics;math.CO;arxiv.math.CO;http://arxiv.org/list/math.CO/recent;arxiv;;
Mathematics - Commutative Algebra;math.AC;arxiv.math.AC;http://arxiv.org/list/math.AC/recent;arxiv;;
Mathematics - Complex Variables;math.CV;arxiv.math.CV;http://arxiv.org/list/math.CV/recent;arxiv;;
Mathematics - Differential Geometry;math.DG;arxiv.math.DG;http://arxiv.org/list/math.DG/recent;arxiv;;
Mathematics - Dynamical Systems;math.DS;arxiv.math.DS;http://arxiv.org/list/math.DS/recent;arxiv;;
Mathematics - Functional Analysis;math.FA;arxiv.math.FA;http://arxiv.org/list/math.FA/recent;arxiv;;
Mathematics - General Mathematics;math.GM;arxiv.math.GM;http://arxiv.org/list/math.GM/recent;arxiv;;
Mathematics - General Topology;math.GN;arxiv.math.GN;http://arxiv.org/list/math.GN/recent;arxiv;;
Mathematics - Geometric Topology;math.GT;arxiv.math.GT;http://arxiv.org/list/math.GT/recent;arxiv;;
Mathematics - Group Theory;math.GR;arxiv.math.GR;http://arxiv.org/list/math.GR/recent;arxiv;;
Mathematics - History and Overview;math.HO;arxiv.math.HO;http://arxiv.org/list/math.HO/recent;arxiv;;
Mathematics - Information Theory;math.IT;arxiv.math.IT;http://arxiv.org/list/math.IT/recent;arxiv;;
Mathematics - K-Theory and Homology;math.KT;arxiv.math.KT;http://arxiv.org/list/math.KT/recent;arxiv;;
Mathematics - Logic;math.LO;arxiv.math.LO;http://arxiv.org/list/math.LO/recent;arxiv;;
Mathematics - Mathematical Physics;math.MP;arxiv.math.MP;http://arxiv.org/list/math.MP/recent;arxiv;;
Mathematics - Metric Geometry;math.MG;arxiv.math.MG;http://arxiv.org/list/math.MG/recent;arxiv;;
Mathematics - Number Theory;math.NT;arxiv.math.NT;http://arxiv.org/list/math.NT/recent;arxiv;;
Mathematics - Numerical Analysis;math.NA;arxiv.math.NA;http://arxiv.org/list/math.NA/recent;arxiv;;
Mathematics - Operator Algebras;math.OA;arxiv.math.OA;http://arxiv.org/list/math.OA/recent;arxiv;;
Mathematics - Optimization and Control;math.OC;arxiv.math.OC;http://arxiv.org/list/math.OC/recent;arxiv;;
Mathematics - Probability;math.PR;arxiv.math.PR;http://arxiv.org/list/math.PR/recent;arxiv;;
Mathematics - Quantum Algebra;math.QA;arxiv.math.QA;http://arxiv.org/list/math.QA/recent;arxiv;;
Mathematics - Representation Theory;math.RT;arxiv.math.RT;http://arxiv.org/list/math.RT/recent;arxiv;;
Mathematics - Rings and Algebras;math.RA;arxiv.math.RA;http://arxiv.org/list/math.RA/recent;arxiv;;
Mathematics - Spectral Theory;math.SP;arxiv.math.SP;http://arxiv.org/list/math.SP/recent;arxiv;;
Mathematics - Statistics;math.ST;arxiv.math.ST;http://arxiv.org/list/math.ST/recent;arxiv;;
Mathematics - Symplectic Geometry;math.SG;arxiv.math.SG;http://arxiv.org/list/math.SG/recent;arxiv;;
