title;short_title;id_issn;id_eissn;id_arx;id_oth;period;language;url;publisher;scope
Statistics - Applications;;;;arxiv.stat.AP;;IRR;English;http://arxiv.org/list/stat.AP/recent;Arxiv;
Statistics - Computation;;;;arxiv.stat.CO;;IRR;English;http://arxiv.org/list/stat.CO/recent;Arxiv;
Statistics - Machine Learning;;;;arxiv.stat.ML;;IRR;English;http://arxiv.org/list/stat.ML/recent;Arxiv;
Statistics - Methodology;;;;arxiv.stat.ME;;IRR;English;http://arxiv.org/list/stat.ME/recent;Arxiv;
Statistics - Theory;;;;arxiv.stat.TH;;IRR;English;http://arxiv.org/list/stat.TH/recent;Arxiv;
Quantitative Biology - Biomolecules;;;;arxiv.q-bio.BM;;IRR;English;http://arxiv.org/list/q-bio.BM/recent;Arxiv;
Quantitative Biology - Cell Behavior;;;;arxiv.q-bio.CB;;IRR;English;http://arxiv.org/list/q-bio.CB/recent;Arxiv;
Quantitative Biology - Genomics;;;;arxiv.q-bio.GN;;IRR;English;http://arxiv.org/list/q-bio.GN/recent;Arxiv;
Quantitative Biology - Molecular Networks;;;;arxiv.q-bio.MN;;IRR;English;http://arxiv.org/list/q-bio.MN/recent;Arxiv;
Quantitative Biology - Neurons and Cognition;;;;arxiv.q-bio.NC;;IRR;English;http://arxiv.org/list/q-bio.NC/recent;Arxiv;
Quantitative Biology - Other;;;;arxiv.q-bio.OT;;IRR;English;http://arxiv.org/list/q-bio.OT/recent;Arxiv;
Quantitative Biology - Populations and Evolution;;;;arxiv.q-bio.PE;;IRR;English;http://arxiv.org/list/q-bio.PE/recent;Arxiv;
Quantitative Biology - Quantitative Methods;;;;arxiv.q-bio.QM;;IRR;English;http://arxiv.org/list/q-bio.QM/recent;Arxiv;
Quantitative Biology - Subcellular Processes;;;;arxiv.q-bio.SC;;IRR;English;http://arxiv.org/list/q-bio.SC/recent;Arxiv;
Quantitative Biology - Tissues and Organs;;;;arxiv.q-bio.TO;;IRR;English;http://arxiv.org/list/q-bio.TO/recent;Arxiv;
Computer Science - Architecture;;;;arxiv.cs.AR;;IRR;English;http://arxiv.org/list/cs.AR/recent;Arxiv;
Computer Science - Artificial Intelligence;;;;arxiv.cs.AI;;IRR;English;http://arxiv.org/list/cs.AI/recent;Arxiv;
Computer Science - Computation and Language;;;;arxiv.cs.CL;;IRR;English;http://arxiv.org/list/cs.CL/recent;Arxiv;
Computer Science - Computational Complexity;;;;arxiv.cs.CC;;IRR;English;http://arxiv.org/list/cs.CC/recent;Arxiv;
"Computer Science - Computational Engineering; Finance; and Science";;;;arxiv.cs.CE;;IRR;English;http://arxiv.org/list/cs.CE/recent;Arxiv;
Computer Science - Computational Geometry;;;;arxiv.cs.CG;;IRR;English;http://arxiv.org/list/cs.CG/recent;Arxiv;
Computer Science - Computer Science and Game Theory;;;;arxiv.cs.GT;;IRR;English;http://arxiv.org/list/cs.GT/recent;Arxiv;
Computer Science - Computer Vision and Pattern Recognition;;;;arxiv.cs.CV;;IRR;English;http://arxiv.org/list/cs.CV/recent;Arxiv;
Computer Science - Computers and Society;;;;arxiv.cs.CY;;IRR;English;http://arxiv.org/list/cs.CY/recent;Arxiv;
Computer Science - Cryptography and Security;;;;arxiv.cs.CR;;IRR;English;http://arxiv.org/list/cs.CR/recent;Arxiv;
Computer Science - Data Structures and Algorithms;;;;arxiv.cs.DS;;IRR;English;http://arxiv.org/list/cs.DS/recent;Arxiv;
Computer Science - Databases;;;;arxiv.cs.DB;;IRR;English;http://arxiv.org/list/cs.DB/recent;Arxiv;
Computer Science - Digital Libraries;;;;arxiv.cs.DL;;IRR;English;http://arxiv.org/list/cs.DL/recent;Arxiv;
Computer Science - Discrete Mathematics;;;;arxiv.cs.DM;;IRR;English;http://arxiv.org/list/cs.DM/recent;Arxiv;
"Computer Science - Distributed; Parallel; and Cluster Computing";;;;arxiv.cs.DC;;IRR;English;http://arxiv.org/list/cs.DC/recent;Arxiv;
Computer Science - General Literature;;;;arxiv.cs.GL;;IRR;English;http://arxiv.org/list/cs.GL/recent;Arxiv;
Computer Science - Graphics;;;;arxiv.cs.GR;;IRR;English;http://arxiv.org/list/cs.GR/recent;Arxiv;
Computer Science - Human-Computer Interaction;;;;arxiv.cs.HC;;IRR;English;http://arxiv.org/list/cs.HC/recent;Arxiv;
Computer Science - Information Retrieval;;;;arxiv.cs.IR;;IRR;English;http://arxiv.org/list/cs.IR/recent;Arxiv;
Computer Science - Information Theory;;;;arxiv.cs.IT;;IRR;English;http://arxiv.org/list/cs.IT/recent;Arxiv;
Computer Science - Learning;;;;arxiv.cs.LG;;IRR;English;http://arxiv.org/list/cs.LG/recent;Arxiv;
Computer Science - Logic in Computer Science;;;;arxiv.cs.LO;;IRR;English;http://arxiv.org/list/cs.LO/recent;Arxiv;
Computer Science - Mathematical Software;;;;arxiv.cs.MS;;IRR;English;http://arxiv.org/list/cs.MS/recent;Arxiv;
Computer Science - Multiagent Systems;;;;arxiv.cs.MA;;IRR;English;http://arxiv.org/list/cs.MA/recent;Arxiv;
Computer Science - Multimedia;;;;arxiv.cs.MM;;IRR;English;http://arxiv.org/list/cs.MM/recent;Arxiv;
Computer Science - Networking and Internet Architecture;;;;arxiv.cs.NI;;IRR;English;http://arxiv.org/list/cs.NI/recent;Arxiv;
Computer Science - Neural and Evolutionary Computing;;;;arxiv.cs.NE;;IRR;English;http://arxiv.org/list/cs.NE/recent;Arxiv;
Computer Science - Numerical Analysis;;;;arxiv.cs.NA;;IRR;English;http://arxiv.org/list/cs.NA/recent;Arxiv;
Computer Science - Operating Systems;;;;arxiv.cs.OS;;IRR;English;http://arxiv.org/list/cs.OS/recent;Arxiv;
Computer Science - Other;;;;arxiv.cs.OH;;IRR;English;http://arxiv.org/list/cs.OH/recent;Arxiv;
Computer Science - Performance;;;;arxiv.cs.PF;;IRR;English;http://arxiv.org/list/cs.PF/recent;Arxiv;
Computer Science - Programming Languages;;;;arxiv.cs.PL;;IRR;English;http://arxiv.org/list/cs.PL/recent;Arxiv;
Computer Science - Robotics;;;;arxiv.cs.RO;;IRR;English;http://arxiv.org/list/cs.RO/recent;Arxiv;
Computer Science - Software Engineering;;;;arxiv.cs.SE;;IRR;English;http://arxiv.org/list/cs.SE/recent;Arxiv;
Computer Science - Sound;;;;arxiv.cs.SD;;IRR;English;http://arxiv.org/list/cs.SD/recent;Arxiv;
Computer Science - Symbolic Computation;;;;arxiv.cs.SC;;IRR;English;http://arxiv.org/list/cs.SC/recent;Arxiv;
Nonlinear Sciences - Adaptation and Self-Organizing Systems;;;;arxiv.nlin.AO;;IRR;English;http://arxiv.org/list/nlin.AO/recent;Arxiv;
Nonlinear Sciences - Cellular Automata and Lattice Gases;;;;arxiv.nlin.CG;;IRR;English;http://arxiv.org/list/nlin.CG/recent;Arxiv;
Nonlinear Sciences - Chaotic Dynamics;;;;arxiv.nlin.CD;;IRR;English;http://arxiv.org/list/nlin.CD/recent;Arxiv;
Nonlinear Sciences - Exactly Solvable and Integrable Systems;;;;arxiv.nlin.SI;;IRR;English;http://arxiv.org/list/nlin.SI/recent;Arxiv;
Nonlinear Sciences - Pattern Formation and Solitons;;;;arxiv.nlin.PS;;IRR;English;http://arxiv.org/list/nlin.PS/recent;Arxiv;
Mathematics - Algebraic Geometry;;;;arxiv.math.AG;;IRR;English;http://arxiv.org/list/math.AG/recent;Arxiv;
Mathematics - Algebraic Topology;;;;arxiv.math.AT;;IRR;English;http://arxiv.org/list/math.AT/recent;Arxiv;
Mathematics - Analysis of PDEs;;;;arxiv.math.AP;;IRR;English;http://arxiv.org/list/math.AP/recent;Arxiv;
Mathematics - Category Theory;;;;arxiv.math.CT;;IRR;English;http://arxiv.org/list/math.CT/recent;Arxiv;
Mathematics - Classical Analysis and ODEs;;;;arxiv.math.CA;;IRR;English;http://arxiv.org/list/math.CA/recent;Arxiv;
Mathematics - Combinatorics;;;;arxiv.math.CO;;IRR;English;http://arxiv.org/list/math.CO/recent;Arxiv;
Mathematics - Commutative Algebra;;;;arxiv.math.AC;;IRR;English;http://arxiv.org/list/math.AC/recent;Arxiv;
Mathematics - Complex Variables;;;;arxiv.math.CV;;IRR;English;http://arxiv.org/list/math.CV/recent;Arxiv;
Mathematics - Differential Geometry;;;;arxiv.math.DG;;IRR;English;http://arxiv.org/list/math.DG/recent;Arxiv;
Mathematics - Dynamical Systems;;;;arxiv.math.DS;;IRR;English;http://arxiv.org/list/math.DS/recent;Arxiv;
Mathematics - Functional Analysis;;;;arxiv.math.FA;;IRR;English;http://arxiv.org/list/math.FA/recent;Arxiv;
Mathematics - General Mathematics;;;;arxiv.math.GM;;IRR;English;http://arxiv.org/list/math.GM/recent;Arxiv;
Mathematics - General Topology;;;;arxiv.math.GN;;IRR;English;http://arxiv.org/list/math.GN/recent;Arxiv;
Mathematics - Geometric Topology;;;;arxiv.math.GT;;IRR;English;http://arxiv.org/list/math.GT/recent;Arxiv;
Mathematics - Group Theory;;;;arxiv.math.GR;;IRR;English;http://arxiv.org/list/math.GR/recent;Arxiv;
Mathematics - History and Overview;;;;arxiv.math.HO;;IRR;English;http://arxiv.org/list/math.HO/recent;Arxiv;
Mathematics - Information Theory;;;;arxiv.math.IT;;IRR;English;http://arxiv.org/list/math.IT/recent;Arxiv;
Mathematics - K-Theory and Homology;;;;arxiv.math.KT;;IRR;English;http://arxiv.org/list/math.KT/recent;Arxiv;
Mathematics - Logic;;;;arxiv.math.LO;;IRR;English;http://arxiv.org/list/math.LO/recent;Arxiv;
Mathematics - Mathematical Physics;;;;arxiv.math.MP;;IRR;English;http://arxiv.org/list/math.MP/recent;Arxiv;
Mathematics - Metric Geometry;;;;arxiv.math.MG;;IRR;English;http://arxiv.org/list/math.MG/recent;Arxiv;
Mathematics - Number Theory;;;;arxiv.math.NT;;IRR;English;http://arxiv.org/list/math.NT/recent;Arxiv;
Mathematics - Numerical Analysis;;;;arxiv.math.NA;;IRR;English;http://arxiv.org/list/math.NA/recent;Arxiv;
Mathematics - Operator Algebras;;;;arxiv.math.OA;;IRR;English;http://arxiv.org/list/math.OA/recent;Arxiv;
Mathematics - Optimization and Control;;;;arxiv.math.OC;;IRR;English;http://arxiv.org/list/math.OC/recent;Arxiv;
Mathematics - Probability;;;;arxiv.math.PR;;IRR;English;http://arxiv.org/list/math.PR/recent;Arxiv;
Mathematics - Quantum Algebra;;;;arxiv.math.QA;;IRR;English;http://arxiv.org/list/math.QA/recent;Arxiv;
Mathematics - Representation Theory;;;;arxiv.math.RT;;IRR;English;http://arxiv.org/list/math.RT/recent;Arxiv;
Mathematics - Rings and Algebras;;;;arxiv.math.RA;;IRR;English;http://arxiv.org/list/math.RA/recent;Arxiv;
Mathematics - Spectral Theory;;;;arxiv.math.SP;;IRR;English;http://arxiv.org/list/math.SP/recent;Arxiv;
Mathematics - Statistics;;;;arxiv.math.ST;;IRR;English;http://arxiv.org/list/math.ST/recent;Arxiv;
Mathematics - Symplectic Geometry;;;;arxiv.math.SG;;IRR;English;http://arxiv.org/list/math.SG/recent;Arxiv;
Astrophysics;;;;arxiv.astro-ph;;IRR;English;http://arxiv.org/list/astro-ph/recent;Arxiv;
Physics - Disordered Systems and Neural Networks;;;;arxiv.cond-mat.dis-nn;;IRR;English;http://arxiv.org/list/cond-mat.dis-nn/recent;Arxiv;
Physics - Mesoscopic Systems and Quantum Hall Effect;;;;arxiv.cond-mat.mes-hall;;IRR;English;http://arxiv.org/list/cond-mat.mes-hall/recent;Arxiv;
Physics - Materials Science;;;;arxiv.cond-mat.mtrl-sci;;IRR;English;http://arxiv.org/list/cond-mat.mtrl-sci/recent;Arxiv;
Physics - Other;;;;arxiv.cond-mat.other;;IRR;English;http://arxiv.org/list/cond-mat.other/recent;Arxiv;
Physics - Soft Condensed Matter;;;;arxiv.cond-mat.soft;;IRR;English;http://arxiv.org/list/cond-mat.soft/recent;Arxiv;
Physics - Statistical Mechanics;;;;arxiv.cond-mat.stat-mech;;IRR;English;http://arxiv.org/list/cond-mat.stat-mech/recent;Arxiv;
Physics - Strongly Correlated Electrons;;;;arxiv.cond-mat.str-el;;IRR;English;http://arxiv.org/list/cond-mat.str-el/recent;Arxiv;
Physics - Superconductivity;;;;arxiv.cond-mat.supr-con;;IRR;English;http://arxiv.org/list/cond-mat.supr-con/recent;Arxiv;
General Relativity and Quantum Cosmology;;;;arxiv.gr-qc;;IRR;English;http://arxiv.org/list/gr-qc/recent;Arxiv;
High Energy Physics - Experiment;;;;arxiv.hep-ex;;IRR;English;http://arxiv.org/list/hep-ex/recent;Arxiv;
High Energy Physics - Lattice;;;;arxiv.hep-lat;;IRR;English;http://arxiv.org/list/hep-lat/recent;Arxiv;
High Energy Physics - Phenomenology;;;;arxiv.hep-ph;;IRR;English;http://arxiv.org/list/hep-ph/recent;Arxiv;
High Energy Physics - Theory;;;;arxiv.hep-th;;IRR;English;http://arxiv.org/list/hep-th/recent;Arxiv;
Mathematical Physics;;;;arxiv.math-ph;;IRR;English;http://arxiv.org/list/math-ph/recent;Arxiv;
Nuclear Experiment;;;;arxiv.nucl-ex;;IRR;English;http://arxiv.org/list/nucl-ex/recent;Arxiv;
Nuclear Theory;;;;arxiv.nucl-th;;IRR;English;http://arxiv.org/list/nucl-th/recent;Arxiv;
Physics - Accelerator Physics;;;;arxiv.physics.acc-ph;;IRR;English;http://arxiv.org/list/physics.acc-ph/recent;Arxiv;
Physics - Atmospheric and Oceanic Physics;;;;arxiv.physics.ao-ph;;IRR;English;http://arxiv.org/list/physics.ao-ph/recent;Arxiv;
Physics - Atomic Physics;;;;arxiv.physics.atom-ph;;IRR;English;http://arxiv.org/list/physics.atom-ph/recent;Arxiv;
Physics - Atomic and Molecular Clusters;;;;arxiv.physics.atm-clus;;IRR;English;http://arxiv.org/list/physics.atm-clus/recent;Arxiv;
Physics - Biological Physics;;;;arxiv.physics.bio-ph;;IRR;English;http://arxiv.org/list/physics.bio-ph/recent;Arxiv;
Physics - Chemical Physics;;;;arxiv.physics.chem-ph;;IRR;English;http://arxiv.org/list/physics.chem-ph/recent;Arxiv;
Physics - Classical Physics;;;;arxiv.physics.class-ph;;IRR;English;http://arxiv.org/list/physics.class-ph/recent;Arxiv;
Physics - Computational Physics;;;;arxiv.physics.comp-ph;;IRR;English;http://arxiv.org/list/physics.comp-ph/recent;Arxiv;
"Physics - Data Analysis; Statistics and Probability";;;;arxiv.physics.data-an;;IRR;English;http://arxiv.org/list/physics.data-an/recent;Arxiv;
Physics - Fluid Dynamics;;;;arxiv.physics.flu-dyn;;IRR;English;http://arxiv.org/list/physics.flu-dyn/recent;Arxiv;
Physics - General Physics;;;;arxiv.physics.gen-ph;;IRR;English;http://arxiv.org/list/physics.gen-ph/recent;Arxiv;
Physics - Geophysics;;;;arxiv.physics.geo-ph;;IRR;English;http://arxiv.org/list/physics.geo-ph/recent;Arxiv;
Physics - History of Physics;;;;arxiv.physics.hist-ph;;IRR;English;http://arxiv.org/list/physics.hist-ph/recent;Arxiv;
Physics - Instrumentation and Detectors;;;;arxiv.physics.ins-det;;IRR;English;http://arxiv.org/list/physics.ins-det/recent;Arxiv;
Physics - Medical Physics;;;;arxiv.physics.med-ph;;IRR;English;http://arxiv.org/list/physics.med-ph/recent;Arxiv;
Physics - Optics;;;;arxiv.physics.optics;;IRR;English;http://arxiv.org/list/physics.optics/recent;Arxiv;
Physics - Physics Education;;;;arxiv.physics.ed-ph;;IRR;English;http://arxiv.org/list/physics.ed-ph/recent;Arxiv;
Physics - Physics and Society;;;;arxiv.physics.soc-ph;;IRR;English;http://arxiv.org/list/physics.soc-ph/recent;Arxiv;
Physics - Plasma Physics;;;;arxiv.physics.plasm-ph;;IRR;English;http://arxiv.org/list/physics.plasm-ph/recent;Arxiv;
Physics - Popular Physics;;;;arxiv.physics.pop-ph;;IRR;English;http://arxiv.org/list/physics.pop-ph/recent;Arxiv;
Physics - Space Physics;;;;arxiv.physics.space-ph;;IRR;English;http://arxiv.org/list/physics.space-ph/recent;Arxiv;
Quantum Physics;;;;arxiv.quant-ph;;IRR;English;http://arxiv.org/list/quant-ph/recent;Arxiv;
