title;short_title;id_issn;id_eissn;id_arx;id_oth;period;language;url;publisher;scope
Arxiv Common;;;;arxiv.common;;IRR;English;http://arxiv.org/;Arxiv;
Arxiv Statistics - Machine Learning;;;;arxiv.stat.ML;;IRR;English;http://arxiv.org/list/stat.ML/recent;Arxiv;
Arxiv Astrophysics;;;;arxiv.astro-ph;;IRR;English;http://arxiv.org/list/astro-ph/recent;Arxiv;
Arxiv Physics - Soft Condensed Matter;;;;arxiv.cond-mat.soft;;IRR;English;http://arxiv.org/list/cond-mat.soft/recent;Arxiv;
Arxiv Physics - Strongly Correlated Electrons;;;;arxiv.cond-mat.str-el;;IRR;English;http://arxiv.org/list/cond-mat.str-el/recent;Arxiv;
Arxiv High Energy Physics - Experiment;;;;arxiv.hep-ex;;IRR;English;http://arxiv.org/list/hep-ex/recent;Arxiv;
Arxiv Physics - Medical Physics;;;;arxiv.physics.med-ph;;IRR;English;http://arxiv.org/list/physics.med-ph/recent;Arxiv;
